features_ID,bedrooms,squareFootage,bathrooms,lotSize,features
100,3.0,880.0,1.0,8060.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central'}"
101,0.0,0.0,0.0,0.0,{}
102,0.0,0.0,0.0,0.0,{}
103,2.0,1236.0,2.0,0.0,unknown
104,0.0,0.0,0.0,0.0,{}
105,3.0,1564.0,2.0,6279.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1, 'roofType': 'Other', 'unitCount': 1}"
106,2.0,1022.0,1.0,0.0,unknown
107,0.0,0.0,0.0,0.0,{}
108,1.0,633.0,1.0,632.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Other', 'fireplace': True, 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 3, 'unitCount': 1, 'foundationType': 'Raised'}"
109,4.0,1800.0,2.0,6970.0,"{'architectureType': 'Single Story', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 7, 'unitCount': 1}"
110,2.0,1188.0,2.0,0.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 5, 'unitCount': 2}"
111,3.0,1392.0,2.0,6159.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Crawl / Raised', 'garage': True, 'garageSpaces': 2, 'garageType': 'Detached Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}"
112,3.0,1266.0,2.0,9450.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 5}"
113,0.0,0.0,0.0,0.0,{}
114,3.0,1888.0,2.5,9233.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Heat Pump', 'roofType': 'Composition Shingle', 'roomCount': 7, 'unitCount': 1}"
115,3.0,1635.0,2.0,8921.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
116,3.0,1643.0,2.0,9601.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}"
117,3.0,1267.0,2.0,11199.0,"{'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Attached', 'roofType': 'Shingle', 'unitCount': 1}"
118,3.0,1188.0,2.0,7686.0,"{'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Raised', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 5}"
119,3.0,3045.0,2.0,0.0,"{'architectureType': 'Condo / Apartment', 'garage': True, 'garageType': 'Garage', 'roomCount': 7, 'unitCount': 1}"
120,1.0,758.0,1.5,0.0,unknown
121,3.0,285.0,2.0,10494.0,"{'cooling': True, 'coolingType': 'Commercial', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'unitCount': 1}"
122,3.0,3057.0,3.5,8721.0,"{'garage': True, 'garageType': 'Garage', 'pool': True, 'cooling': True, 'exteriorType': 'Stucco', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'coolingType': 'Commercial'}"
123,3.0,1915.0,2.5,0.0,unknown
124,3.0,3561.0,4.5,27966.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 5, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Baseboard', 'roomCount': 7, 'unitCount': 1}"
125,4.0,1808.0,2.0,6534.0,"{'cooling': True, 'exteriorType': 'Other', 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageSpaces': 2, 'garageType': 'Built-in', 'heating': True, 'roofType': 'Composition Shingle', 'coolingType': 'Commercial'}"
126,4.0,2282.0,3.0,4356.0,{'floorCount': 2}
127,3.0,1424.0,2.0,21780.0,"{'architectureType': 'Mobile Home', 'floorCount': 1, 'unitCount': 1}"
128,3.0,1455.0,2.0,8775.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Shingle', 'roomCount': 6, 'unitCount': 1}"
129,4.0,1800.0,3.0,0.0,"{'cooling': True, 'coolingType': 'Commercial', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'roomCount': 7, 'unitCount': 1, 'garage': True, 'garageType': 'Garage'}"
130,4.0,2920.0,2.0,17729.0,"{'architectureType': 'Two Family', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Asphalt', 'roomCount': 11, 'unitCount': 2}"
131,5.0,1862.0,2.0,10000.0,{'unitCount': 1}
132,5.0,2490.0,2.0,4950.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'roofType': 'Shingle', 'unitCount': 1}"
133,3.0,1928.0,3.0,0.0,unknown
134,0.0,0.0,0.0,0.0,{}
135,0.0,0.0,0.0,0.0,{}
136,0.0,0.0,0.0,0.0,{}
